,title,total_sales_USDMM
0,Astral Chain,64.80000000000001
1,Marvel Ultimate Alliance 3: The Black Order,64.80000000000001
2,Enter the Gungeon,60.0
3,Monster Hunter Generations Ultimate,0.72
4,Diablo III: Eternal Collection,0.67
5,LEGO Marvel Super Heroes 2,0.67
6,LEGO The Incredibles,0.63
7,Bayonetta 2,0.57
8,Dragon Ball: Xenoverse 2,0.55
9,Fire Emblem Warriors,0.51
10,Hyrule Warriors: Definitive Edition,0.46
11,The Lego Ninjago Movie Videogame,0.4
12,Nintendo Labo: Toy-Con 02 Robot Kit,0.36
13,LEGO Harry Potter Collection,0.33
14,Warriors  Orochi 4,18.6
15,The Binding of Isaac: Afterbirth+,0.28
16,Resident Evil: Revelations Collection,0.27
17,Hello Neighbor,0.24
18,Attack on Titan 2,0.23
19,Fate/Extella: The Umbral Star,0.21
20,Katamari Damacy Reroll,0.17
21,Axiom Verge,0.17
22,Has-Been Heroes,0.14
23,Dead Cells,0.11
24,Troll and I,0.1
25,Cartoon Network Battle Crashers,0.08
26,Ben 10 (2017),0.08
27,One Piece: Unlimited World Red Deluxe Edition,0.07
28,Nights of Azure 2: Bride of the New Moon,0.06
29,Ittle Dew 2+,0.06
30,Azure Striker Gunvolt: Striker Pack,0.06
31,One Piece: Pirate Warriors 3 - Deluxe Edition,0.06
32,Tiny Barbarian DX,0.06
33,The Escapists 2,0.05
34,Minna de Wai Wai! Spelunker,0.04
35,Sine Mora EX,0.04
36,Okami HD,0.04
37,Code of  Princess EX,0.03
38,The Longest 5 Minutes,0.03
39,Yonder: The Cloud Catcher Chronicles,0.03
40,88 Heroes: 98 Heroes Edition,0.02
41,Super Run For Money Tousouchuu & Sentouchuu,0.02
42,Shaq-Fu: A Legend Reborn,0.02
43,Unbox: Newbie's Adventure,0.01
44,Titan Quest,0.01
45,Nari Kids Park: Hugtto! PreCure,0.01
46,Warriors Orochi 3,0.01
47,Yoku's Island Express,0.01
48,Nari Kids Park: Ultraman R/B,0.0
